# UD, ID
7.490110000000003154e-01,1.155265921787709468e-02
7.516940000000000843e-01,1.169707262569832408e-02
7.475429999999998465e-01,1.185584729981378066e-02
7.527750000000001940e-01,1.198187337057728119e-02
7.533800000000003827e-01,1.212362756052141541e-02
7.540540000000000020e-01,1.226617877094971984e-02
7.531659999999997801e-01,1.241305772811918118e-02
7.527770000000000294e-01,1.256273743016759863e-02
7.527099999999999902e-01,1.270644692737430206e-02
7.544659999999998590e-01,1.284576908752327676e-02
7.525140000000001272e-01,1.300059962756052075e-02
7.572149999999999714e-01,1.312565735567970335e-02
7.561369999999998370e-01,1.327199255121042781e-02
7.566100000000002268e-01,1.341360148975791373e-02
7.563969999999997640e-01,1.356148603351955279e-02
7.589900000000002755e-01,1.369821601489757887e-02
7.525519999999996656e-01,1.386405959031657489e-02
7.591589999999999172e-01,1.398627932960893813e-02
7.543300000000003891e-01,1.414889385474860269e-02
7.610829999999997320e-01,1.427106517690875272e-02
7.601060000000003924e-01,1.442116573556797079e-02
7.630479999999999485e-01,1.455787709497206699e-02
7.638679999999995474e-01,1.470077839851024158e-02
7.648300000000003429e-01,1.484455121042830422e-02
7.645889999999999631e-01,1.498794413407821338e-02
7.616370000000003415e-01,1.514470763500930933e-02
7.629990000000006489e-01,1.528452886405958985e-02
7.642960000000007526e-01,1.542526256983240036e-02
7.646370000000004552e-01,1.556967597765362976e-02
