# UD, ID
8.411999999999999339e-03,0.000000000000000000e+00
4.780999999999999833e-02,0.000000000000000000e+00
8.704399999999999638e-02,0.000000000000000000e+00
1.251259999999999872e-01,0.000000000000000000e+00
1.640159999999999951e-01,0.000000000000000000e+00
2.031119999999999870e-01,0.000000000000000000e+00
2.421079999999999899e-01,0.000000000000000000e+00
2.812470000000000248e-01,0.000000000000000000e+00
3.217039999999999900e-01,0.000000000000000000e+00
3.593140000000000223e-01,0.000000000000000000e+00
3.989300000000000068e-01,0.000000000000000000e+00
4.369989999999999708e-01,3.724394785847299955e-08
4.729490000000000083e-01,1.375046554934823151e-05
5.009240000000000359e-01,5.639106145251396508e-05
5.230679999999999774e-01,1.169310986964618198e-04
5.445160000000000000e-01,1.903687150837988736e-04
5.566809999999999814e-01,2.890279329608938931e-04
5.732850000000000446e-01,3.731322160148975702e-04
5.843350000000000488e-01,4.764208566108007613e-04
5.951699999999999768e-01,5.849981378026069840e-04
6.040299999999999558e-01,6.968007448789571498e-04
6.104589999999999739e-01,8.173296089385474750e-04
6.168290000000000717e-01,9.396945996275604196e-04
6.234769999999999479e-01,1.062327746741154651e-03
6.257159999999999389e-01,1.201009310986964540e-03
6.295420000000000460e-01,1.323240223463687058e-03
6.393120000000001024e-01,1.442770949720670499e-03
6.442909999999999471e-01,1.572402234636871652e-03
6.469169999999999643e-01,1.707761638733705815e-03
6.489409999999999901e-01,1.848666666666666644e-03
6.550729999999999054e-01,1.972577281191806482e-03
6.576350000000000806e-01,2.110379888268156413e-03
6.622780000000000333e-01,2.242748603351955340e-03
6.508320000000000771e-01,2.412119180633146790e-03
6.664780000000000149e-01,2.516554934823091606e-03
6.858949999999999214e-01,2.615288640595903047e-03
6.697580000000000755e-01,2.799690875232774354e-03
6.744110000000000937e-01,2.927515828677839781e-03
6.938569999999999460e-01,3.026048417132216287e-03
6.802479999999999638e-01,3.200811918063314627e-03
6.747119999999998674e-01,3.355783985102420847e-03
7.004400000000000626e-01,3.437001862197392767e-03
6.815060000000000562e-01,3.633527001862197139e-03
6.688790000000000013e-01,3.794122905027932403e-03
6.954160000000000341e-01,3.877642458100558943e-03
6.895230000000001080e-01,4.038156424581005113e-03
6.776120000000001031e-01,4.204122905027932178e-03
6.973890000000000366e-01,4.299415270018622053e-03
6.977019999999998223e-01,4.446901303538175129e-03
6.901900000000000812e-01,4.612029795158286566e-03
7.030659999999999688e-01,4.720085661080074962e-03
7.147179999999999644e-01,4.827389199255120722e-03
7.036580000000001167e-01,4.998711359404097061e-03
7.007010000000002403e-01,5.146640595903165423e-03
7.058910000000002682e-01,5.289988826815641802e-03
7.074129999999998475e-01,5.417988826815643179e-03
7.058190000000001962e-01,5.562551210428304770e-03
7.154660000000001574e-01,5.687359404096834457e-03
7.118460000000002008e-01,5.837143389199254788e-03
7.106360000000000454e-01,5.982163873370577659e-03
7.123659999999998327e-01,6.121046554934823566e-03
7.125230000000002395e-01,6.270472998137802470e-03
7.177080000000000126e-01,6.397739292364990234e-03
7.151909999999999101e-01,6.545545623836126689e-03
7.181260000000000421e-01,6.687992551210428238e-03
7.178669999999998108e-01,6.832070763500930864e-03
7.198770000000001001e-01,6.968383612662941949e-03
7.244040000000002699e-01,7.103944134078212132e-03
7.241360000000001129e-01,7.248543761638733506e-03
7.242369999999997976e-01,7.392793296089385582e-03
7.292309999999999626e-01,7.526119180633147714e-03
7.268799999999999706e-01,7.674230912476723288e-03
7.245959999999995738e-01,7.826521415270019238e-03
7.295069999999999055e-01,7.957519553072625595e-03
7.301020000000000287e-01,8.098469273743016603e-03
7.308580000000000076e-01,8.241109869646181391e-03
7.284310000000000507e-01,8.394607076350093025e-03
7.260149999999998549e-01,8.549545623836127262e-03
7.323599999999999000e-01,8.671612662942270941e-03
7.341050000000000075e-01,8.813348230912477002e-03
7.343139999999999112e-01,8.958130353817504721e-03
7.362020000000000231e-01,9.098919925512104906e-03
7.357029999999999959e-01,9.244979515828677039e-03
7.374169999999997671e-01,9.386789571694599196e-03
7.387250000000000760e-01,9.529169459962755911e-03
7.405170000000000918e-01,9.671091247672252214e-03
7.415579999999999394e-01,9.815404096834264361e-03
7.365500000000002601e-01,9.984767225325884982e-03
7.425239999999999618e-01,1.010826070763501047e-02
7.450010000000002464e-01,1.024705027932960866e-02
7.450870000000002769e-01,1.038955307262569815e-02
7.431239999999998957e-01,1.054348230912476730e-02
7.444239999999999746e-01,1.068381378026070708e-02
7.476620000000000488e-01,1.082169459962756090e-02
7.484730000000001660e-01,1.096421229050279292e-02
7.500670000000000393e-01,1.110739664804469284e-02
7.505760000000001320e-01,1.125102793296089282e-02
7.443839999999997126e-01,1.141944134078212367e-02
7.505880000000000329e-01,1.154288640595903075e-02
7.531450000000003975e-01,1.168385847299813728e-02
7.529050000000001575e-01,1.183076722532588367e-02
7.515230000000001631e-01,1.198415270018621942e-02
7.522559999999995917e-01,1.212801117318435852e-02
7.533309999999997508e-01,1.227149720670391193e-02
7.537499999999996980e-01,1.241614152700186262e-02
7.558159999999998213e-01,1.255606703910614429e-02
7.541089999999996962e-01,1.270877839851024260e-02
7.524560000000004578e-01,1.285956424581005501e-02
7.595990000000001352e-01,1.298711731843575461e-02
7.569080000000001363e-01,1.313390316573556822e-02
7.577249999999997598e-01,1.327423836126629363e-02
7.553610000000001712e-01,1.342878584729981402e-02
7.582809999999997608e-01,1.356055865921787680e-02
7.598480000000003010e-01,1.370051769087523262e-02
7.588130000000004038e-01,1.384627188081936737e-02
7.590079999999996829e-01,1.399204469273743028e-02
7.596679999999995658e-01,1.413370204841713287e-02
7.625459999999999461e-01,1.427038733705772965e-02
7.624039999999996375e-01,1.441701303538175070e-02
7.615280000000002047e-01,1.456488640595903113e-02
7.634769999999999612e-01,1.470465921787709497e-02
7.605039999999996247e-01,1.486239851024208532e-02
7.606529999999995795e-01,1.500471508379888283e-02
7.650619999999994647e-01,1.513341154562383717e-02
7.635560000000003456e-01,1.528426443202979441e-02
7.642199999999998994e-01,1.542727746741154489e-02
7.648039999999998173e-01,1.556930353817504581e-02
