# UD, ID
8.058179999999999232e-01,7.540305400372439813e-03
8.066889999999999894e-01,7.685716945996275661e-03
8.067560000000000286e-01,7.828934823091248871e-03
8.059829999999998940e-01,7.977623836126629397e-03
8.082659999999997069e-01,8.114093109869647408e-03
8.092079999999999274e-01,8.257824953445066368e-03
8.065499999999996561e-01,8.413556797020485187e-03
8.104399999999998272e-01,8.545243947858473244e-03
8.094440000000000524e-01,8.696942271880819114e-03
8.040959999999999219e-01,8.864238361266294636e-03
8.012950000000000905e-01,9.019646182495344444e-03
8.003809999999997871e-01,9.171743016759777156e-03
8.016100000000001558e-01,9.311195530726255887e-03
8.019579999999999487e-01,9.460994413407822212e-03
8.049909999999997900e-01,9.600487895716946357e-03
8.056190000000000850e-01,9.746629422718807584e-03
8.055409999999998405e-01,9.893217877094972329e-03
8.138260000000001604e-01,1.002337430167597743e-02
8.043290000000000717e-01,1.018733705772811859e-02
8.047180000000002664e-01,1.033391806331471034e-02
8.115299999999998626e-01,1.046533705772811906e-02
8.082270000000000287e-01,1.061835381750465476e-02
8.042660000000001475e-01,1.077648789571694632e-02
8.109599999999996811e-01,1.090544878957169610e-02
8.069000000000001727e-01,1.105724767225325922e-02
8.068140000000001422e-01,1.120287895716945946e-02
8.077540000000000830e-01,1.134313594040968314e-02
8.091580000000000439e-01,1.148820111731843618e-02
8.031470000000000553e-01,1.165512476722532602e-02
8.099989999999999135e-01,1.177500931098696482e-02
8.098329999999998030e-01,1.192100186219739212e-02
8.102110000000002366e-01,1.206422718808193573e-02
8.110699999999999577e-01,1.220595530726257053e-02
8.102670000000000705e-01,1.235605214152700297e-02
8.099749999999996675e-01,1.249916945996275633e-02
8.115879999999999761e-01,1.264218994413407807e-02
8.130639999999997869e-01,1.278441340782122959e-02
8.062119999999999287e-01,1.294918435754189960e-02
8.034380000000003186e-01,1.310229422718808129e-02
8.102810000000002510e-01,1.322355307262569786e-02
8.115950000000000664e-01,1.336167225325884597e-02
8.110349999999999504e-01,1.351121415270018639e-02
8.073149999999995607e-01,1.366577653631284930e-02
8.063570000000002125e-01,1.381617877094972087e-02
8.103560000000005203e-01,1.394572067039106036e-02
8.129870000000001262e-01,1.408500558659217874e-02
8.105759999999997412e-01,1.423893109869646227e-02
8.134450000000006398e-01,1.437432774674115427e-02
8.129360000000005471e-01,1.452230912476722494e-02
8.149969999999999715e-01,1.466201117318435658e-02
8.098319999999996632e-01,1.482392178770949691e-02
8.137150000000001882e-01,1.495555679702048439e-02
8.075309999999999988e-01,1.512284543761638692e-02
8.133710000000000662e-01,1.524749348230912405e-02
8.141239999999996257e-01,1.539013407821229057e-02
