# UD, ID
0.000000000000000000e+00,0.000000000000000000e+00
2.335299999999999876e-02,0.000000000000000000e+00
6.292300000000000670e-02,0.000000000000000000e+00
1.019609999999999961e-01,0.000000000000000000e+00
1.412289999999999934e-01,0.000000000000000000e+00
1.802970000000000128e-01,0.000000000000000000e+00
2.189659999999999940e-01,0.000000000000000000e+00
2.585459999999999980e-01,0.000000000000000000e+00
2.976369999999999849e-01,0.000000000000000000e+00
3.367470000000000185e-01,0.000000000000000000e+00
3.762480000000000269e-01,0.000000000000000000e+00
4.159359999999999724e-01,3.724394785847299955e-08
4.555980000000000030e-01,2.651769087523277425e-06
4.867609999999999992e-01,3.341899441340782315e-05
5.118700000000000472e-01,8.749348230912476476e-05
5.335239999999999982e-01,1.532588454376163740e-04
5.504630000000000356e-01,2.369459962756051885e-04
5.648530000000000495e-01,3.294748603351955107e-04
5.782229999999999315e-01,4.269310986964618333e-04
5.887150000000000993e-01,5.335009310986965278e-04
5.985169999999999657e-01,6.447672253258845531e-04
6.066119999999999290e-01,7.613370577281191112e-04
6.146979999999999666e-01,8.775493482309124592e-04
6.195979999999999821e-01,1.006893854748603300e-03
6.254239999999999799e-01,1.131240223463687161e-03
6.310620000000000118e-01,1.255955307262569993e-03
6.368420000000001302e-01,1.382346368715083864e-03
6.413489999999999469e-01,1.511675977653631313e-03
6.440399999999999459e-01,1.648674115456238249e-03
6.491449999999999720e-01,1.777229050279329706e-03
6.503210000000000379e-01,1.919191806331470990e-03
6.545769999999998534e-01,2.050674115456238480e-03
6.584820000000000118e-01,2.184569832402234735e-03
6.610369999999998747e-01,2.319985102420856621e-03
6.643880000000000896e-01,2.453940409683426447e-03
6.669840000000000213e-01,2.589560521415270201e-03
6.652879999999999905e-01,2.731258845437616479e-03
6.730909999999998838e-01,2.860584729981378079e-03
6.753349999999999076e-01,2.998670391061452906e-03
6.783290000000000708e-01,3.134189944134078108e-03
6.806119999999998837e-01,3.272551210428305268e-03
6.825269999999999948e-01,3.412152700186219662e-03
6.849590000000000956e-01,3.549191806331470928e-03
6.834680000000000755e-01,3.690413407821229071e-03
6.898410000000001485e-01,3.823527001862196770e-03
6.906250000000000444e-01,3.967839851024208483e-03
6.928469999999999906e-01,4.106446927374302058e-03
6.915320000000000356e-01,4.249381750465549938e-03
6.963120000000000420e-01,4.387050279329608900e-03
6.932780000000000609e-01,4.531247672253258668e-03
6.989680000000000337e-01,4.669720670391060841e-03
7.011039999999999495e-01,4.809921787709496577e-03
7.026779999999999138e-01,4.948525139664804520e-03
7.043040000000002632e-01,5.091322160148975366e-03
7.046220000000000816e-01,5.235195530726256992e-03
7.022450000000000081e-01,5.375128491620111658e-03
7.081969999999997434e-01,5.513478584729981924e-03
7.095299999999997720e-01,5.656934823091247684e-03
7.101699999999999680e-01,5.801162011173184238e-03
7.115770000000001261e-01,5.942558659217877029e-03
7.123630000000000795e-01,6.084439478584729652e-03
7.106730000000001102e-01,6.237080074487895767e-03
7.152379999999998184e-01,6.368882681564246202e-03
7.145269999999999122e-01,6.514495344506517419e-03
7.171910000000001340e-01,6.655802607076349853e-03
7.192720000000001335e-01,6.795359404096834068e-03
7.194590000000000707e-01,6.942189944134077861e-03
7.207390000000000185e-01,7.088160148975791372e-03
7.226909999999999723e-01,7.224513966480446137e-03
7.223389999999998423e-01,7.371828677839850630e-03
7.242890000000001827e-01,7.509217877094971627e-03
7.251799999999999358e-01,7.656167597765362563e-03
7.213919999999998112e-01,7.791005586592178629e-03
7.271580000000001931e-01,7.940413407821228509e-03
7.279609999999996361e-01,8.083813780260708931e-03
7.294170000000002041e-01,8.223612662942272195e-03
7.302689999999998349e-01,8.369344506517691420e-03
7.312099999999999156e-01,8.513083798882681644e-03
7.317909999999998583e-01,8.655839851024207943e-03
7.308300000000000907e-01,8.803206703910614744e-03
7.321300000000001695e-01,8.944983240223462750e-03
7.336230000000001361e-01,9.088018621973928748e-03
7.355009999999997383e-01,9.231720670391060923e-03
7.366960000000002395e-01,9.376301675977654140e-03
7.376920000000000144e-01,9.519966480446928267e-03
7.391450000000001630e-01,9.663895716945996098e-03
7.397550000000001624e-01,9.809430167597764719e-03
7.408559999999999590e-01,9.950729981378025890e-03
7.418860000000000454e-01,1.010240968342644360e-02
7.440470000000001249e-01,1.023927001862197372e-02
7.443949999999999179e-01,1.038263687150837999e-02
7.454119999999999635e-01,1.052420111731843487e-02
7.448839999999998795e-01,1.066722905027932961e-02
7.463889999999997471e-01,1.081950465549348303e-02
7.458540000000000170e-01,1.095953445065176932e-02
7.494859999999996525e-01,1.109913966480446934e-02
7.497400000000000730e-01,1.124438361266294310e-02
7.491639999999999411e-01,1.138757914338919819e-02
7.504949999999999122e-01,1.153832402234636866e-02
7.509349999999996861e-01,1.167861452513966475e-02
7.496640000000001081e-01,1.181440968342644185e-02
7.519579999999996822e-01,1.196835381750465700e-02
7.529900000000000482e-01,1.211340037243947843e-02
7.538260000000001071e-01,1.225825325884543834e-02
7.540300000000002001e-01,1.240511731843575369e-02
7.542970000000002173e-01,1.255163500931098797e-02
7.549910000000004118e-01,1.269542644320297876e-02
7.506750000000002032e-01,1.282236499068901275e-02
7.553230000000001887e-01,1.298694599627560516e-02
7.554819999999997648e-01,1.313309869646182501e-02
7.533989999999999299e-01,1.325942271880819340e-02
7.576640000000001152e-01,1.341839106145251495e-02
7.556260000000003529e-01,1.357109869646182417e-02
7.584350000000004144e-01,1.370852141527001758e-02
7.590749999999997222e-01,1.385032029795158284e-02
7.581889999999997798e-01,1.400086405959031707e-02
7.577479999999998661e-01,1.413927001862197268e-02
7.557430000000002757e-01,1.426957541899441344e-02
7.613750000000001350e-01,1.443295716945996315e-02
7.625069999999998238e-01,1.457696834264432008e-02
7.633359999999997925e-01,1.472089385474860401e-02
7.628989999999995497e-01,1.487624953445065325e-02
7.590400000000006031e-01,1.500397020484171146e-02
7.642749999999995936e-01,1.515827932960893930e-02
7.644429999999999836e-01,1.530189571694599501e-02
7.600089999999992685e-01,1.542085661080074520e-02
7.632340000000006341e-01,1.559159031657355622e-02
