# UD, ID
1.758046999999999915e+00,2.088804469273743223e-03
1.783427999999999791e+00,2.138979515828678003e-03
1.787295999999999996e+00,2.270938547486033628e-03
1.787236000000000047e+00,2.417318435754190007e-03
1.791783000000000126e+00,2.546156424581005710e-03
1.783781000000000061e+00,2.722033519553072878e-03
1.795795000000000030e+00,2.824014897579143514e-03
1.793248000000000175e+00,2.978882681564245984e-03
1.802483000000000057e+00,3.090890130353817367e-03
1.800227000000000022e+00,3.244290502793296081e-03
1.809445999999999888e+00,3.356409683426443344e-03
1.806664999999999743e+00,3.511489757914338945e-03
1.814174999999999649e+00,3.630055865921787920e-03
1.819236999999999771e+00,3.755646182495344862e-03
1.823507999999999907e+00,3.886566108007449057e-03
1.829479999999999995e+00,4.009027932960894380e-03
1.829541000000000084e+00,4.153999999999999707e-03
1.829863000000000017e+00,4.298994413407821423e-03
1.836953000000000058e+00,4.419094972067039856e-03
1.837604999999999933e+00,4.561612662942271870e-03
1.838214999999999710e+00,4.705921787709497518e-03
1.840022000000000046e+00,4.846540037243948253e-03
1.845861999999999892e+00,4.973225325884543697e-03
1.843553999999999915e+00,5.125083798882681257e-03
1.847209999999999797e+00,5.261292364990689460e-03
1.849816000000000127e+00,5.396744878957169395e-03
1.855524999999999869e+00,5.528677839851024733e-03
1.854185000000000194e+00,5.687631284916201159e-03
1.858672000000000102e+00,5.815240223463686957e-03
1.860747999999999847e+00,5.951534450651769018e-03
1.866408999999999985e+00,6.089471135940409049e-03
1.855962000000000112e+00,6.263590316573557602e-03
1.835426000000000002e+00,6.483858472998137515e-03
1.860238999999999754e+00,6.548417132216014999e-03
1.852591999999999794e+00,6.721411545623836095e-03
1.853887000000000063e+00,6.859713221601489684e-03
1.848902999999999963e+00,7.032230912476723078e-03
1.860132999999999814e+00,7.130569832402234610e-03
1.860987999999999865e+00,7.272432029795158209e-03
1.852301999999999893e+00,7.440543761638733836e-03
1.857930000000000081e+00,7.568994413407820893e-03
1.852711000000000219e+00,7.737541899441340541e-03
1.869953000000000198e+00,7.819709497206703969e-03
1.871164999999999967e+00,7.963054003724394717e-03
1.874595000000000233e+00,8.092324022346367510e-03
1.872806999999999888e+00,8.243903165735567973e-03
1.877051999999999943e+00,8.375847299813781940e-03
1.878382999999999914e+00,8.515385474860335396e-03
1.885286999999999935e+00,8.635005586592178761e-03
1.884719000000000033e+00,8.783188081936685668e-03
1.887424999999999908e+00,8.916376163873369898e-03
1.871458000000000066e+00,9.117817504655493024e-03
1.888126000000000193e+00,9.201832402234638025e-03
1.889740999999999893e+00,9.340212290502792475e-03
1.884212000000000220e+00,9.508011173184357720e-03
1.886100000000000332e+00,9.642383612662942111e-03
1.885062000000000015e+00,9.792875232774674032e-03
1.895156999999999758e+00,9.899679702048417435e-03
1.896244999999999958e+00,1.004302048417132255e-02
1.898562000000000083e+00,1.018071508379888267e-02
1.902215999999999685e+00,1.031548230912476653e-02
1.898633000000000237e+00,1.047379888268156443e-02
1.907936999999999994e+00,1.058603351955307234e-02
1.906644000000000450e+00,1.073398137802607059e-02
1.911486000000000018e+00,1.086292364990688875e-02
1.905802999999999692e+00,1.102718808193668514e-02
1.898313000000000361e+00,1.120159404096834205e-02
1.899471000000000132e+00,1.134343761638733662e-02
