# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
9.827613830566406250e-04,0.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000056e-01,1.100000000000000006e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.974017620086669922e-01,0.000000000000000000e+00,2.000000000000000000e+01,1.499999999999999944e-01,1.600000000000000033e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
3.669972419738769531e-01,0.000000000000000000e+00,2.500000000000000000e+01,2.000000000000000111e-01,2.099999999999999922e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
5.326423645019531250e-01,0.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e-01,2.600000000000000089e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
7.001707553863525391e-01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.994142532348632812e+00,0.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000278e-02,5.999999999999999778e-02,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
3.421668052673339844e+00,0.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000056e-01,1.100000000000000006e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
3.868477344512939453e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.499999999999999944e-01,1.600000000000000033e-01,5.000000000000000278e-02,2.050000000000000000e+01,0.000000000000000000e+00
4.300457477569580078e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.000000000000000111e-01,2.099999999999999922e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
4.732779264450073242e+00,0.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e-01,2.600000000000000089e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
5.177964448928833008e+00,0.000000000000000000e+00,3.500000000000000000e+01,2.899999999999999800e-01,3.099999999999999978e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
5.610183000564575195e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.400000000000000244e-01,3.499999999999999778e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
6.055402040481567383e+00,0.000000000000000000e+00,4.500000000000000000e+01,3.800000000000000044e-01,4.000000000000000222e-01,5.000000000000000278e-02,2.050000000000000000e+01,0.000000000000000000e+00
6.490383148193359375e+00,0.000000000000000000e+00,5.000000000000000000e+01,4.199999999999999845e-01,4.500000000000000111e-01,5.000000000000000278e-02,2.050000000000000000e+01,0.000000000000000000e+00
6.931451082229614258e+00,0.000000000000000000e+00,5.500000000000000000e+01,4.699999999999999734e-01,4.899999999999999911e-01,1.499999999999999944e-01,2.050000000000000000e+01,0.000000000000000000e+00
7.380371093750000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,5.100000000000000089e-01,5.300000000000000266e-01,5.000000000000000278e-02,2.050000000000000000e+01,0.000000000000000000e+00
7.847580194473266602e+00,0.000000000000000000e+00,6.500000000000000000e+01,5.500000000000000444e-01,5.699999999999999512e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
8.355135917663574219e+00,0.000000000000000000e+00,7.000000000000000000e+01,5.899999999999999689e-01,6.099999999999999867e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
8.893443584442138672e+00,0.000000000000000000e+00,7.500000000000000000e+01,6.300000000000000044e-01,6.500000000000000222e-01,5.000000000000000278e-02,2.050000000000000000e+01,0.000000000000000000e+00
9.173129558563232422e+00,0.000000000000000000e+00,8.000000000000000000e+01,6.600000000000000311e-01,6.899999999999999467e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
9.706486225128173828e+00,0.000000000000000000e+00,8.500000000000000000e+01,6.999999999999999556e-01,7.299999999999999822e-01,5.000000000000000278e-02,2.050000000000000000e+01,0.000000000000000000e+00
1.014508891105651855e+01,0.000000000000000000e+00,9.000000000000000000e+01,7.399999999999999911e-01,7.800000000000000266e-01,3.900000000000000133e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.061241149902343750e+01,0.000000000000000000e+00,9.500000000000000000e+01,7.700000000000000178e-01,8.100000000000000533e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.109485197067260742e+01,0.000000000000000000e+00,1.000000000000000000e+02,8.100000000000000533e-01,8.499999999999999778e-01,4.899999999999999911e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.147036767005920410e+01,0.000000000000000000e+00,1.050000000000000000e+02,8.399999999999999689e-01,8.800000000000000044e-01,0.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.196700477600097656e+01,0.000000000000000000e+00,1.100000000000000000e+02,8.699999999999999956e-01,9.100000000000000311e-01,1.000000000000000056e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.244654154777526855e+01,0.000000000000000000e+00,1.150000000000000000e+02,9.100000000000000311e-01,9.499999999999999556e-01,2.899999999999999800e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.278101563453674316e+01,0.000000000000000000e+00,1.200000000000000000e+02,9.399999999999999467e-01,9.799999999999999822e-01,2.000000000000000111e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.325275635719299316e+01,0.000000000000000000e+00,1.250000000000000000e+02,9.699999999999999734e-01,1.020000000000000018e+00,4.400000000000000022e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.372315192222595215e+01,0.000000000000000000e+00,1.300000000000000000e+02,1.000000000000000000e+00,1.050000000000000044e+00,6.400000000000000133e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.419911122322082520e+01,0.000000000000000000e+00,1.350000000000000000e+02,1.030000000000000027e+00,1.080000000000000071e+00,6.800000000000000488e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.466679430007934570e+01,0.000000000000000000e+00,1.400000000000000000e+02,1.060000000000000053e+00,1.110000000000000098e+00,8.299999999999999600e-01,2.050000000000000000e+01,0.000000000000000000e+00
1.500014424324035645e+01,0.000000000000000000e+00,1.450000000000000000e+02,1.090000000000000080e+00,1.149999999999999911e+00,1.169999999999999929e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.544166612625122070e+01,0.000000000000000000e+00,1.500000000000000000e+02,1.120000000000000107e+00,1.179999999999999938e+00,1.270000000000000018e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.593609595298767090e+01,0.000000000000000000e+00,1.550000000000000000e+02,1.149999999999999911e+00,1.199999999999999956e+00,1.270000000000000018e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.641873669624328613e+01,0.000000000000000000e+00,1.600000000000000000e+02,1.179999999999999938e+00,1.239999999999999991e+00,1.909999999999999920e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.692581152915954590e+01,0.000000000000000000e+00,1.650000000000000000e+02,1.209999999999999964e+00,1.260000000000000009e+00,1.370000000000000107e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.726925873756408691e+01,0.000000000000000000e+00,1.700000000000000000e+02,1.229999999999999982e+00,1.290000000000000036e+00,1.860000000000000098e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.772360110282897949e+01,0.000000000000000000e+00,1.750000000000000000e+02,1.260000000000000009e+00,1.320000000000000062e+00,2.049999999999999822e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.817872977256774902e+01,0.000000000000000000e+00,1.800000000000000000e+02,1.290000000000000036e+00,1.350000000000000089e+00,2.000000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.866337227821350098e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.320000000000000062e+00,1.379999999999999893e+00,2.049999999999999822e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.916856336593627930e+01,0.000000000000000000e+00,1.900000000000000000e+02,1.340000000000000080e+00,1.399999999999999911e+00,2.149999999999999911e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.945137190818786621e+01,0.000000000000000000e+00,1.950000000000000000e+02,1.370000000000000107e+00,1.429999999999999938e+00,2.790000000000000036e+00,2.050000000000000000e+01,0.000000000000000000e+00
1.995237445831298828e+01,0.000000000000000000e+00,2.000000000000000000e+02,1.389999999999999902e+00,1.449999999999999956e+00,2.439999999999999947e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.044777441024780273e+01,0.000000000000000000e+00,2.050000000000000000e+02,1.409999999999999920e+00,1.479999999999999982e+00,3.180000000000000160e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.087769055366516113e+01,0.000000000000000000e+00,2.100000000000000000e+02,1.439999999999999947e+00,1.500000000000000000e+00,2.930000000000000160e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.138160753250122070e+01,0.000000000000000000e+00,2.150000000000000000e+02,1.459999999999999964e+00,1.530000000000000027e+00,3.370000000000000107e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.176539134979248047e+01,0.000000000000000000e+00,2.200000000000000000e+02,1.489999999999999991e+00,1.560000000000000053e+00,3.569999999999999840e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.223271608352661133e+01,0.000000000000000000e+00,2.250000000000000000e+02,1.510000000000000009e+00,1.580000000000000071e+00,3.620000000000000107e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.262248849868774414e+01,0.000000000000000000e+00,2.300000000000000000e+02,1.530000000000000027e+00,1.600000000000000089e+00,4.009999999999999787e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.309808850288391113e+01,0.000000000000000000e+00,2.350000000000000000e+02,1.550000000000000044e+00,1.629999999999999893e+00,4.200000000000000178e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.355427265167236328e+01,0.000000000000000000e+00,2.400000000000000000e+02,1.570000000000000062e+00,1.639999999999999902e+00,3.810000000000000053e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.400115633010864258e+01,0.000000000000000000e+00,2.450000000000000000e+02,1.600000000000000089e+00,1.669999999999999929e+00,4.250000000000000000e+00,2.050000000000000000e+01,0.000000000000000000e+00
2.443203258514404297e+01,0.000000000000000000e+00,2.500000000000000000e+02,1.620000000000000107e+00,1.689999999999999947e+00,4.690000000000000391e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.488977837562561035e+01,0.000000000000000000e+00,2.550000000000000000e+02,1.639999999999999902e+00,1.719999999999999973e+00,4.740000000000000213e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.576166105270385742e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.659999999999999920e+00,1.739999999999999991e+00,4.889999999999999680e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.600139641761779785e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.627078342437744141e+01,0.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000278e-02,5.999999999999999778e-02,5.000000000000000278e-02,2.439999999999999858e+01,0.000000000000000000e+00
2.654811549186706543e+01,0.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000056e-01,1.100000000000000006e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.702829766273498535e+01,0.000000000000000000e+00,2.000000000000000000e+01,1.499999999999999944e-01,1.600000000000000033e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.747627568244934082e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.000000000000000111e-01,2.099999999999999922e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.788649439811706543e+01,0.000000000000000000e+00,3.000000000000000000e+01,2.500000000000000000e-01,2.600000000000000089e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.836362552642822266e+01,0.000000000000000000e+00,3.500000000000000000e+01,2.899999999999999800e-01,3.099999999999999978e-01,1.000000000000000056e-01,2.439999999999999858e+01,0.000000000000000000e+00
2.886558771133422852e+01,0.000000000000000000e+00,4.000000000000000000e+01,3.400000000000000244e-01,3.499999999999999778e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.914641284942626953e+01,0.000000000000000000e+00,4.500000000000000000e+01,3.800000000000000044e-01,4.000000000000000222e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
2.964249920845031738e+01,0.000000000000000000e+00,5.000000000000000000e+01,4.199999999999999845e-01,4.500000000000000111e-01,5.000000000000000278e-02,2.439999999999999858e+01,0.000000000000000000e+00
3.014243531227111816e+01,0.000000000000000000e+00,5.500000000000000000e+01,4.699999999999999734e-01,4.899999999999999911e-01,5.000000000000000278e-02,2.439999999999999858e+01,0.000000000000000000e+00
3.049806094169616699e+01,0.000000000000000000e+00,6.000000000000000000e+01,5.100000000000000089e-01,5.300000000000000266e-01,5.000000000000000278e-02,2.439999999999999858e+01,0.000000000000000000e+00
3.096890807151794434e+01,0.000000000000000000e+00,6.500000000000000000e+01,5.500000000000000444e-01,5.699999999999999512e-01,5.000000000000000278e-02,2.439999999999999858e+01,0.000000000000000000e+00
3.143265962600708008e+01,0.000000000000000000e+00,7.000000000000000000e+01,5.899999999999999689e-01,6.099999999999999867e-01,2.399999999999999911e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.188860249519348145e+01,0.000000000000000000e+00,7.500000000000000000e+01,6.300000000000000044e-01,6.600000000000000311e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.228091049194335938e+01,0.000000000000000000e+00,8.000000000000000000e+01,6.600000000000000311e-01,6.899999999999999467e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.274535846710205078e+01,0.000000000000000000e+00,8.500000000000000000e+01,6.999999999999999556e-01,7.399999999999999911e-01,0.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.321113896369934082e+01,0.000000000000000000e+00,9.000000000000000000e+01,7.399999999999999911e-01,7.700000000000000178e-01,1.000000000000000056e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.354978394508361816e+01,0.000000000000000000e+00,9.500000000000000000e+01,7.700000000000000178e-01,8.100000000000000533e-01,1.499999999999999944e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.403346276283264160e+01,0.000000000000000000e+00,1.000000000000000000e+02,8.100000000000000533e-01,8.499999999999999778e-01,2.399999999999999911e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.456587219238281250e+01,0.000000000000000000e+00,1.050000000000000000e+02,8.399999999999999689e-01,8.800000000000000044e-01,1.000000000000000056e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.491544628143310547e+01,0.000000000000000000e+00,1.100000000000000000e+02,8.800000000000000044e-01,9.100000000000000311e-01,1.499999999999999944e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.535505294799804688e+01,0.000000000000000000e+00,1.150000000000000000e+02,9.100000000000000311e-01,9.499999999999999556e-01,2.899999999999999800e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.582305932044982910e+01,0.000000000000000000e+00,1.200000000000000000e+02,9.399999999999999467e-01,9.899999999999999911e-01,8.299999999999999600e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.631909418106079102e+01,0.000000000000000000e+00,1.250000000000000000e+02,9.699999999999999734e-01,1.030000000000000027e+00,1.270000000000000018e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.676494598388671875e+01,0.000000000000000000e+00,1.300000000000000000e+02,1.000000000000000000e+00,1.060000000000000053e+00,1.320000000000000062e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.719739890098571777e+01,0.000000000000000000e+00,1.350000000000000000e+02,1.040000000000000036e+00,1.080000000000000071e+00,8.800000000000000044e-01,2.439999999999999858e+01,0.000000000000000000e+00
3.762661671638488770e+01,0.000000000000000000e+00,1.400000000000000000e+02,1.070000000000000062e+00,1.120000000000000107e+00,1.080000000000000071e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.811678981781005859e+01,0.000000000000000000e+00,1.450000000000000000e+02,1.100000000000000089e+00,1.149999999999999911e+00,1.469999999999999973e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.852894186973571777e+01,0.000000000000000000e+00,1.500000000000000000e+02,1.120000000000000107e+00,1.179999999999999938e+00,1.120000000000000107e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.898397374153137207e+01,0.000000000000000000e+00,1.550000000000000000e+02,1.149999999999999911e+00,1.209999999999999964e+00,1.709999999999999964e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.949214291572570801e+01,0.000000000000000000e+00,1.600000000000000000e+02,1.179999999999999938e+00,1.239999999999999991e+00,2.049999999999999822e+00,2.439999999999999858e+01,0.000000000000000000e+00
3.982102441787719727e+01,0.000000000000000000e+00,1.650000000000000000e+02,1.209999999999999964e+00,1.270000000000000018e+00,2.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.030588912963867188e+01,0.000000000000000000e+00,1.700000000000000000e+02,1.239999999999999991e+00,1.290000000000000036e+00,1.709999999999999964e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.077176856994628906e+01,0.000000000000000000e+00,1.750000000000000000e+02,1.260000000000000009e+00,1.320000000000000062e+00,2.000000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.126567578315734863e+01,0.000000000000000000e+00,1.800000000000000000e+02,1.290000000000000036e+00,1.350000000000000089e+00,2.250000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.161700797080993652e+01,0.000000000000000000e+00,1.850000000000000000e+02,1.320000000000000062e+00,1.379999999999999893e+00,2.200000000000000178e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.208991885185241699e+01,0.000000000000000000e+00,1.900000000000000000e+02,1.340000000000000080e+00,1.399999999999999911e+00,2.350000000000000089e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.256728816032409668e+01,0.000000000000000000e+00,1.950000000000000000e+02,1.370000000000000107e+00,1.429999999999999938e+00,2.540000000000000036e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.308102703094482422e+01,0.000000000000000000e+00,2.000000000000000000e+02,1.389999999999999902e+00,1.459999999999999964e+00,2.930000000000000160e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.339448761940002441e+01,0.000000000000000000e+00,2.050000000000000000e+02,1.419999999999999929e+00,1.479999999999999982e+00,2.930000000000000160e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.387184023857116699e+01,0.000000000000000000e+00,2.100000000000000000e+02,1.439999999999999947e+00,1.510000000000000009e+00,3.029999999999999805e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.437930417060852051e+01,0.000000000000000000e+00,2.150000000000000000e+02,1.459999999999999964e+00,1.530000000000000027e+00,3.419999999999999929e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.473402261734008789e+01,0.000000000000000000e+00,2.200000000000000000e+02,1.489999999999999991e+00,1.550000000000000044e+00,3.419999999999999929e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.523224663734436035e+01,0.000000000000000000e+00,2.250000000000000000e+02,1.510000000000000009e+00,1.580000000000000071e+00,3.620000000000000107e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.565176749229431152e+01,0.000000000000000000e+00,2.300000000000000000e+02,1.530000000000000027e+00,1.610000000000000098e+00,4.400000000000000355e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.611623525619506836e+01,0.000000000000000000e+00,2.350000000000000000e+02,1.550000000000000044e+00,1.629999999999999893e+00,4.500000000000000000e+00,2.439999999999999858e+01,0.000000000000000000e+00
4.662315130233764648e+01,0.000000000000000000e+00,2.400000000000000000e+02,1.580000000000000071e+00,1.649999999999999911e+00,4.500000000000000000e+00,2.830000000000000071e+01,0.000000000000000000e+00
4.698330211639404297e+01,0.000000000000000000e+00,2.450000000000000000e+02,1.600000000000000089e+00,1.669999999999999929e+00,4.500000000000000000e+00,2.830000000000000071e+01,0.000000000000000000e+00
4.750109624862670898e+01,0.000000000000000000e+00,2.500000000000000000e+02,1.620000000000000107e+00,1.689999999999999947e+00,4.740000000000000213e+00,2.830000000000000071e+01,0.000000000000000000e+00
4.791171050071716309e+01,0.000000000000000000e+00,2.550000000000000000e+02,1.639999999999999902e+00,1.719999999999999973e+00,4.639999999999999680e+00,2.830000000000000071e+01,0.000000000000000000e+00
4.870835661888122559e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.659999999999999920e+00,1.739999999999999991e+00,4.889999999999999680e+00,2.830000000000000071e+01,0.000000000000000000e+00
4.896402931213378906e+01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.830000000000000071e+01,0.000000000000000000e+00
4.928911733627319336e+01,0.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000278e-02,5.999999999999999778e-02,0.000000000000000000e+00,2.830000000000000071e+01,0.000000000000000000e+00
