# TIME, TIK, DC, UA, U1, IL, Iset, ERROR
1.713306450843811035e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.399999999999999911e-01,1.020000000000000018e+00,2.067000000000000171e+01,2.050000000000000000e+01,-1.700000000000000122e-01
1.760902595520019531e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.399999999999999911e-01,1.010000000000000009e+00,2.014000000000000057e+01,2.050000000000000000e+01,3.599999999999999867e-01
1.807435178756713867e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.399999999999999911e-01,1.020000000000000018e+00,2.028000000000000114e+01,2.050000000000000000e+01,2.200000000000000011e-01
1.855811405181884766e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.399999999999999911e-01,1.010000000000000009e+00,1.994000000000000128e+01,2.050000000000000000e+01,5.600000000000000533e-01
1.890919208526611328e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.399999999999999911e-01,1.020000000000000018e+00,2.014000000000000057e+01,2.050000000000000000e+01,3.599999999999999867e-01
1.935756850242614746e+01,0.000000000000000000e+00,1.250000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,1.989000000000000057e+01,2.050000000000000000e+01,6.099999999999999867e-01
1.982471227645874023e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.399999999999999911e-01,1.020000000000000018e+00,2.057999999999999829e+01,2.050000000000000000e+01,-8.000000000000000167e-02
2.029168367385864258e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.062999999999999901e+01,2.050000000000000000e+01,-1.300000000000000044e-01
2.078650712966918945e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.042999999999999972e+01,2.050000000000000000e+01,7.000000000000000666e-02
2.114268946647644043e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.042999999999999972e+01,2.050000000000000000e+01,7.000000000000000666e-02
2.162725567817687988e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.067000000000000171e+01,2.050000000000000000e+01,-1.700000000000000122e-01
2.209620952606201172e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.399999999999999911e-01,1.020000000000000018e+00,2.053000000000000114e+01,2.050000000000000000e+01,-2.999999999999999889e-02
2.255899786949157715e+01,0.000000000000000000e+00,1.230000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.092000000000000171e+01,2.050000000000000000e+01,-4.199999999999999845e-01
2.304426360130310059e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.032999999999999829e+01,2.050000000000000000e+01,1.700000000000000122e-01
2.339707040786743164e+01,0.000000000000000000e+00,1.240000000000000000e+02,7.500000000000000000e-01,1.020000000000000018e+00,2.071999999999999886e+01,2.050000000000000000e+01,-2.200000000000000011e-01
